,text,author_id,public_metrics,created_at,id,query_description,tags,withheld,"('english_score', 'universal_score')"
51,"@Independent_ie Sure we are all but locked down except in name. There are many unvaccinated who are systematically discriminated against, you're friends and fellow citizens, we wont let them have a sit down meal. This country is a joke, what more could be done to people. #prochoice",2589961989,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2021-12-07T14:39:46+00:00,1468228749816737807,First full size search 12/7 minus one week,#abortion##reprorights#v1,,"(0.23, 0.24)"
52,"#ProChoice #AbortionRights #AbortionIsHealthcare #ExpandTheCourt

#GOPHypocrisy #GOPDeathCult #EndTheFilibuster #January6th #VaccineMandates #VotingRights #VoterSuppression #ClimateAction #BlackLivesMatter #GunControl #BlueWave2022 #PresidentBiden #politicalcartoons https://t.co/4RZy2ciOhk",16892089,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 3, 'quote_count': 0}",2021-12-07T14:30:14+00:00,1468226348950958090,First full size search 12/7 minus one week,#abortion##reprorights#v1,,"(0.57, 0.48)"
53,https://t.co/JshPrZ1I9A #RoeVWade #Feminism #prochoice,20959178,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",2021-12-07T14:29:06+00:00,1468226065118212101,First full size search 12/7 minus one week,#abortion##reprorights#v1,,"(0.26, 0.28)"
54,"RT @natashablue22: Medical decisions are between a woman and her provider. Period.
#RightToChoose #ProChoice https://t.co/uZotDIMKXe",809382295,"{'retweet_count': 19, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2021-12-07T14:24:02+00:00,1468224789206781960,First full size search 12/7 minus one week,#abortion##reprorights#v1,,"(0.99, 0.99)"
55,RT @dutes85: Given the insanity within a politicians thought process. Doesn't mean I'll lower myself to their level.  No matter your creden…,1461987025687515142,"{'retweet_count': 2, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2021-12-07T14:19:04+00:00,1468223537311727620,First full size search 12/7 minus one week,#abortion##reprorights#v1,,"(0.44, 0.45)"
56,"RT @ablueview: #GOPHypocrisy #EndTheFilibuster #ExpandTheCourt #January6th #GOPDeathCult #trumptheloser

#GetVaccinated #VaccineMandates #P…",2306243713,"{'retweet_count': 2, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2021-12-07T14:16:31+00:00,1468222897546219529,First full size search 12/7 minus one week,#abortion##reprorights#v1,,"(0.4, 0.36)"
57,RT @dutes85: Given the insanity within a politicians thought process. Doesn't mean I'll lower myself to their level.  No matter your creden…,1345319606802640896,"{'retweet_count': 2, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2021-12-07T14:16:26+00:00,1468222877006770179,First full size search 12/7 minus one week,#abortion##reprorights#v1,,"(0.27, 0.23)"
58,"Given the insanity within a politicians thought process. Doesn't mean I'll lower myself to their level.  No matter your credence I will always be an #organdonor. I hope doctors will find it in their hearts to do what's right, if ever a #prochoice person was on the receiving end.",960395099191492608,"{'retweet_count': 2, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2021-12-07T14:16:21+00:00,1468222854386700289,First full size search 12/7 minus one week,#abortion##reprorights#v1,,"(0.04, 0.09)"
59,"RT @ablueview: #GOPHypocrisy #EndTheFilibuster #ExpandTheCourt #January6th #GOPDeathCult #trumptheloser

#GetVaccinated #VaccineMandates #P…",126075164,"{'retweet_count': 2, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2021-12-07T14:15:52+00:00,1468222731896471558,First full size search 12/7 minus one week,#abortion##reprorights#v1,,"(0.67, 0.51)"
60,"#GOPHypocrisy #EndTheFilibuster #ExpandTheCourt #January6th #GOPDeathCult #trumptheloser

#GetVaccinated #VaccineMandates #ProChoice #AbortionRights #VotingRights #VoterSuppression #ClimateAction #BlackLivesMatter #GunControl #BlueWave2022 #PresidentBiden #politicalcartoons https://t.co/72AuvXNbRt",16892089,"{'retweet_count': 2, 'reply_count': 0, 'like_count': 4, 'quote_count': 0}",2021-12-07T14:15:11+00:00,1468222562522267648,First full size search 12/7 minus one week,#abortion##reprorights#v1,,"(0.57, 0.48)"
61,"RT @ablueview: #GOPHypocrisy #EndTheFilibuster #ExpandTheCourt #January6th #GOPDeathCult #trumptheloser

#GetVaccinated #VaccineMandates #P…",1294320009083265025,"{'retweet_count': 2, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2021-12-07T14:09:58+00:00,1468221249000194048,First full size search 12/7 minus one week,#abortion##reprorights#v1,,"(0.98, 0.98)"
62,"RT @ablueview: #GOPHypocrisy #EndTheFilibuster #ExpandTheCourt #January6th #GOPDeathCult #trumptheloser

#GetVaccinated #VaccineMandates #P…",1359936960568115204,"{'retweet_count': 2, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2021-12-07T14:03:36+00:00,1468219647719841805,First full size search 12/7 minus one week,#abortion##reprorights#v1,,"(0.99, 0.98)"
63,"@JerasIkehorn A Woman's Right To Choose...
Is A Womans Right.
If You don't have a UTERUS, fallopian tubes, ovaries, a birth canal.....
THEN SHUT THE FUCK UP ABOUT A WOMAN'S RIGHT TO CHOOSE. 
#abortionrights 
#texas 
#prochoice 
#righttochoose 
#roevwade
#texass",2975722854,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2021-12-07T14:00:28+00:00,1468218858758721549,First full size search 12/7 minus one week,#abortion##reprorights#v1,,"(0.9, 0.93)"
64,"#GOPHypocrisy #EndTheFilibuster #ExpandTheCourt #January6th #GOPDeathCult #trumptheloser

#GetVaccinated #VaccineMandates #ProChoice #AbortionRights #VotingRights #VoterSuppression #ClimateAction #BlackLivesMatter #GunControl #BlueWave2022 #PresidentBiden #politicalcartoons https://t.co/GQgXFLXUgo",16892089,"{'retweet_count': 2, 'reply_count': 0, 'like_count': 3, 'quote_count': 0}",2021-12-07T14:00:19+00:00,1468218817956524035,First full size search 12/7 minus one week,#abortion##reprorights#v1,,"(0.57, 0.48)"
65,RT @Ireland2020: The language used has changed again showing they are making it up as they go along. They had/have no idea how 💉💉💉💉 worked/…,131976056,"{'retweet_count': 17, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2021-12-07T13:50:50+00:00,1468216432194473991,First full size search 12/7 minus one week,#abortion##reprorights#v1,,"(0.67, 0.62)"
66,"RT @KollegeSchnrsc3: Diesen Samstag zeigt eine gefährliche, sich akut radikalisierende Allianz aus rechten Esoterikern, völkischem Denken u…",2592068704,"{'retweet_count': 2, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2021-12-07T13:45:40+00:00,1468215133411368961,First full size search 12/7 minus one week,#abortion##reprorights#v1,,"(0.07, 0.07)"
67,"RT @KollegeSchnrsc3: Diesen Samstag zeigt eine gefährliche, sich akut radikalisierende Allianz aus rechten Esoterikern, völkischem Denken u…",1351174756171657225,"{'retweet_count': 2, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2021-12-07T13:43:14+00:00,1468214520933986308,First full size search 12/7 minus one week,#abortion##reprorights#v1,,"(0.1, 0.11)"
